Ticket_ID,Cancellation_Time
0001S-710553_1,0.05
0002S-683308_1,0.016666666666666666
0002S-683308_2,0.016666666666666666
0009S-712083_1,0.15
0009S-712083_2,0.15
0012S-730760_1,16.833333333333332
0012S-730760_2,16.833333333333332
0014S-709652_1,9.0
0014S-709652_2,9.0
0020S-729913_1,88.35
0020S-729913_2,88.35
0036S-701890_1,0.23333333333333334
0036S-701890_2,0.23333333333333334
0043S-735095_1,109.46666666666667
0043S-735095_2,109.46666666666667
0049S-679037_1,8.766666666666667
0049S-679037_2,8.766666666666667
0052S-709301_1,16.966666666666665
0052S-709301_2,16.966666666666665
0052S-709301_3,16.966666666666665
0055S-705863_1,0.16666666666666666
0055S-705863_2,0.16666666666666666
0075874110BHPT,543.75
0097784210RQPT,435.65
0106S-682771_1,12.616666666666667
0106S-682771_2,12.616666666666667
0106S-713357_1,13.566666666666666
0106S-713357_2,13.566666666666666
0107S-705866_1,32.266666666666666
0107S-705866_2,32.266666666666666
0107S-712854_1,71.98333333333333
0107S-712854_2,71.98333333333333
0108S-697651_1,38.983333333333334
0108S-697651_2,38.983333333333334
0112S-690042_1,9.316666666666666
0112S-690042_2,9.316666666666666
0113S-690043_1,9.266666666666667
0113S-690044_1,9.266666666666667
0121S-731412_1,12.2
0121S-731412_2,12.2
0126S-703214_1,189.88333333333333
0126S-703214_2,189.88333333333333
0126S-716220_1,112.26666666666667
0126S-716220_2,112.26666666666667
0133S-701912_1,88.33333333333333
0133S-701912_2,88.33333333333333
0134S-735727_1,36.333333333333336
0134S-735727_2,36.333333333333336
0135S-700259_1,36.583333333333336
0135S-700259_2,36.583333333333336
0136S-728296_1,57.8
0136S-728296_2,57.8
0136S-728296_3,57.8
0136S-728296_4,57.8
0136S-728296_5,57.8
0136S-728296_6,57.8
0136S-728296_7,57.8
0136S-728296_8,57.8
0137S-710598_1,0.11666666666666667
0137S-710598_2,0.11666666666666667
0140S-728298_1,81.71666666666667
0140S-728298_2,81.71666666666667
0146512310YTPT,0.31666666666666665
0146S-685840_1,7.533333333333333
0146S-685840_2,7.533333333333333
0146S-733396_1,60.38333333333333
0146S-733396_2,60.38333333333333
0152S-714570_1,7.333333333333333
0152S-714570_2,7.333333333333333
0153S-709321_1,116.0
0153S-709322_1,116.0
0172019800ZWPT,150.78333333333333
0207S-696058_1,245.51666666666668
0207S-696058_2,245.51666666666668
0220S-731420_1,11.25
0228S-703225_1,294.71666666666664
0228S-703225_2,294.71666666666664
0237S-728305_1,56.86666666666667
0237S-728305_2,56.86666666666667
0238S-714231_1,0.03333333333333333
0238S-714231_2,0.03333333333333333
0273532010XAPT,51.13333333333333
0286417010ZFPT,46.81666666666667
0306194510KFPT,61.46666666666667
0316S-714918_1,0.11666666666666667
0318S-714919_1,9.75
0318S-714919_2,9.75
0321S-702826_1,19.933333333333334
0321S-702826_2,19.933333333333334
0322550410ZFPT,0.1
0338531800GRPT,0.26666666666666666
0375746210XSPT,435.65
0407S-701936_1,111.15
0407S-701936_2,111.15
0502151200HLPT,149.2
0551593010GCPT,51.13333333333333
0622963810TXPT,2.9166666666666665
0647S-709339_1,39.2
0647S-709339_2,39.2
0710182110JJPT,0.03333333333333333
0712S-682360_1,0.3333333333333333
0712S-682360_2,0.3333333333333333
0719856200TYPT,0.06666666666666667
075-6947-601,140.95
075-6947-602,140.95
075-7596-701,34.266666666666666
075-7596-702,34.266666666666666
075-9579-801,0.0
075-9579-802,0.0
0758832710YMPT,16.35
0758S-696964_1,4.65
0758S-696964_2,4.65
076-0302-901,0.0
076-0302-902,0.0
076-0359-701,0.016666666666666666
076-0359-702,0.016666666666666666
076-0625-801,0.2
076-0625-802,0.2
077-0361-901,232.21666666666667
077-0361-902,232.21666666666667
077-2064-001,56.65
077-2064-002,56.65
077-2064-003,56.65
077-2064-004,56.65
077-2064-005,56.65
077-2064-006,56.65
077-2064-007,56.65
077-2064-008,56.65
